Year,Month,Day,Hour,Minute,Location,Latitude,Longitude,Magnitude,Deaths,Injuries,Damage in Millions,Damage Scale,Number of Houses Destroyed ,Scale of houses destroyed,Number of Houses Damaged,Scale of houses  damaged
1992,4,25,18,6,"CALIFORNIA: HUMBOLDT COUNTY: FERNDALE, PETROLIA",40.368,-124.316,7.1,,98,75,4,,,,
1992,6,28,11,57,"CALIFORNIA: LANDERS, YUCCA VALLEY",34.201,-116.436,7.6,3,400,92,4,,,,
2011,2,17,22,47,COLORADO: PAONIA,38.947,-107.497,3.1,,,,1,,,,
2011,8,23,5,46,COLORADO: SEGUNDO,37.063,-104.701,5.4,,,,2,,,,
1951,8,21,10,57,HAWAII,19.7,-156,6.9,,2,,2,8,1,230,3
1975,11,29,14,47,HAWAII,19.451,-155.033,7.7,,,4,2,,,,
1973,4,26,20,26,HAWAII: HILO,19.936,-155.098,6.5,,11,5.75,3,,,,
1983,11,16,16,13,HAWAII: KAPAPALA,19.43,-155.454,6.7,,6,6.5,3,,,,
2006,10,15,17,7,HAWAIIAN ISLANDS,19.878,-155.935,6.7,,,73,4,,,,
1989,6,26,3,27,HAWAIIAN ISLANDS: PUNA DISTRICT,19.362,-155.083,6.1,,5,,2,105,3,,
2018,5,4,22,32,HAWAIIAN ISLANDS: PUNA DISTRICT,19.37,-155.032,6.9,,,,1,,,,
1983,10,28,14,6,"IDAHO: BORAH PEAK, CHALLIS, MACKAY",43.974,-113.916,7.3,2,2,12.5,3,,,,
1975,3,28,2,31,IDAHO: POCATELLO VALLEY,42.06,-112.55,6,,,1,2,,,,
2008,4,18,9,36,ILLINOIS: WEST SALEM,38.452,-87.886,5.3,,,,1,,,,1
2003,6,6,12,29,KENTUCKY: BARDWELL,36.87,-88.98,4,,,,1,,,,
1980,7,27,18,52,KENTUCKY: MAYSVILLE,38.174,-83.907,5.1,,2,1,2,,,,
2005,7,26,4,8,"MONTANA: DILLON, SILVER STAR, TWIN BRIDGES",45.365,-112.615,5.6,,,,1,,,,
1959,8,18,6,37,MONTANA: HEBGEN LAKE,44.712,-111.215,7.7,28,,11,3,,,,
2007,5,8,15,46,MONTANA: SHERIDAN,45.394,-112.13,4.5,,,,1,,,,
1992,6,29,10,14,NEVADA-CALIFORNIA BORDER: NEVADA TEST SITE,36.705,-116.293,5.4,,,,2,,,,
1954,12,16,11,7,NEVADA: DIXIE VALLEY,39.3,-118.2,7,,,,,,,,
1954,7,6,11,13,NEVADA: FALLON,39.4,-118.5,6.8,,,,2,,,,
2008,4,26,6,40,NEVADA: FALLON,39.52,-119.93,5,,,,1,,,,1
1954,8,23,,,NEVADA: STILLWATER RANGE,39.6,-118.5,6.8,,,,,,,,
2008,2,21,14,16,NEVADA: WELLS,41.153,-114.867,6,,3,,2,,,720,3
2002,4,20,10,50,"NEW YORK: CLINTON, ESSEX, AU SABLE FORKS",44.513,-73.699,5.2,,,,1,,,,
2016,11,7,1,44,OKLAHOMA: CUSHING,35.988,-96.805,5,,,20,3,,,50,1
2014,2,9,2,16,OKLAHOMA: GUTHRIE,35.937,-97.271,4.1,,,,1,,,,
2014,7,15,9,8,OKLAHOMA: HARRAH,35.524,-97.146,3.9,,,,2,,,,2
2010,12,19,5,5,OKLAHOMA: LUTHER,35.827,-96.772,3.7,,,,1,,,,1
2011,11,6,3,53,OKLAHOMA: SPARKS,35.532,-96.765,5.7,,2,,2,14,1,,3
2011,11,8,2,46,"OKLAHOMA: SPARKS, PRAGUE",35.531,-96.788,5,,,,1,,,,2
1993,9,21,3,28,OREGON: KLAMATH FALLS,42.314,-122.012,6,2,,7.5,3,,,,
1994,1,16,1,49,"PENNSYLVANIA: READING, FELT TO CANADA",40.33,-76.037,4.6,,,,1,,,,
1962,8,30,13,35,UTAH,41.8,-111.8,5.8,,,2,2,,,,
2007,8,6,8,48,UTAH: HUNTINGTON,39.465,-111.237,4.2,9,,,,,,,
2011,8,23,17,51,"VIRGINIA: LOUISA COUNTY, MARYLAND, WASHINGTON D.C.",37.936,-77.933,5.8,,,,2,,,,
1993,3,25,13,34,WASHINGTON-OREGON BORDER,45.035,-122.607,5.6,,,28.4,4,,,,
1980,5,18,15,32,WASHINGTON: MT ST HELENS,46.214,-122.194,5.2,,,,,,,,
2001,2,28,18,54,"WASHINGTON: OLYMPIA, SEATTLE, TACOMA",47.149,-122.727,6.8,1,400,2000,4,,,,
1965,4,29,15,28,WASHINGTON: SEATTLE,47.4,-122.3,6.6,7,,28,4,,,,
1994,2,3,9,5,WYOMING: AFTON,42.762,-110.976,5.8,,,,1,,,,
1984,10,18,15,30,"WYOMING: DOUGLAS, MEDICINE BOW",42.375,-105.72,5.1,,,,1,,,,
